t,agentID,homeLoc,candLoc,candIdx,isHome,layers,nLayers,value,familiarity,attachPenFrac,movingCost,creditBlocked,distressMode
63,170,15,19,4,0,maize|cassava|industrial_crop,3,666.089681666942,0.451929671297196,0.1878049270414,6.26673007784706,0,0
63,163,3,3,1,1,school,1,9.1812976040232,0.0384669108737283,0.47052525803615,0,1,0
63,163,3,3,2,1,unskilled1|school,2,41.9430118633806,0.133961467209141,0.42379509214909,0,1,0
63,163,3,3,3,1,maize,1,12.3541728943482,0.889498462275148,0.0540738172605409,0,1,0
63,163,3,3,4,1,unskilled2|cassava,2,38.4678436427468,0.0997422857616184,0.440540214456854,0,1,0
63,163,3,3,5,1,unskilled1|maize|industrial_crop,3,53.0450321217073,0.452584472046734,0.267877242557776,0,1,0
63,163,3,3,6,1,rice_south|maize|industrial_crop,3,47.5697214438219,0.377190669506961,0.304771124625411,0,1,0
63,163,3,3,7,1,maize|cassava|industrial_crop,3,41.3405743502446,0.388410026003473,0.299280943715133,0,1,0
63,163,3,19,1,0,unskilled1|unskilled2,2,38.3825405961527,0.196003954826511,0.393434662720817,3.61191305798818,1,0
63,163,3,19,2,0,school,1,4.72237855777998,0.0384669108737283,0.47052525803615,3.61191305798818,1,0
63,163,3,19,3,0,unskilled1|school,2,44.6473777803606,0.133961467209141,0.42379509214909,3.61191305798818,1,0
63,163,3,19,4,0,unskilled2|cassava,2,32.7877649047663,0.0997422857616184,0.440540214456854,3.61191305798818,1,0
63,163,3,19,5,0,unskilled2|maize|industrial_crop,3,47.4363543922526,0.430283092901372,0.278790400196967,3.61191305798818,1,0
63,163,3,19,6,0,maize|cassava|industrial_crop,3,38.0658834687596,0.388410026003473,0.299280943715133,3.61191305798818,1,0
63,163,3,21,1,0,school,1,7.75630259659118,0.0384669108737283,0.47052525803615,2.76510170092424,1,0
63,163,3,21,2,0,unskilled1|school,2,40.850276530229,0.133961467209141,0.42379509214909,2.76510170092424,1,0
63,163,3,21,3,0,unskilled2|cassava,2,43.7892891716541,0.0997422857616184,0.440540214456854,2.76510170092424,1,0
63,163,3,21,4,0,unskilled1|maize|industrial_crop,3,60.2334140690572,0.452584472046734,0.267877242557776,2.76510170092424,1,0
63,163,3,21,5,0,maize|cassava|industrial_crop,3,48.3200014806054,0.388410026003473,0.299280943715133,2.76510170092424,1,0
63,56,5,5,1,1,unskilled1|unskilled2,2,43.1745452540573,0.235962926219331,0.278780529889204,0,0,0
63,56,5,5,2,1,unskilled1|rice_north,2,39.818016708426,0.101260190385707,0.327930631843555,0,0,0
63,56,5,5,3,1,unskilled1|maize,2,41.8391823768136,0.558602370117921,0.16105640599541,0,0,0
63,56,5,5,4,1,unskilled2|maize,2,47.7213660581627,0.592044915565839,0.148853947684479,0,0,0
63,56,5,5,5,1,unskilled1|maize|industrial_crop,3,43.8225088061305,0.517618213982994,0.176010634208212,0,0,0
63,56,5,5,6,1,unskilled2|maize|industrial_crop,3,61.9397721336722,0.539913244281605,0.167875662000924,0,0,0
63,56,5,10,1,0,unskilled1|unskilled2,2,25.7914306565118,0.235962926219331,0.278780529889204,6.05399528134911,0,0
63,56,5,10,2,0,school,1,-1.6855245225421,0.0441851522232273,0.348756073341633,6.05399528134911,0,0
63,56,5,10,3,0,unskilled1|school,2,32.1164577304403,0.12335276649732,0.319869530770884,6.05399528134911,0,0
63,56,5,10,4,0,rice_south|cassava,2,22.9520974475,0.0303296720958753,0.353811637036545,6.05399528134911,0,0
63,56,5,10,5,0,rice_south|maize|industrial_crop,3,26.3396317217043,0.450111420392523,0.200642396637158,6.05399528134911,0,0
63,56,5,10,6,0,maize|cassava|industrial_crop,3,33.0297258901411,0.470331201789773,0.193264637670206,6.05399528134911,0,0
63,56,5,13,1,0,unskilled1|school,2,37.1467072319017,0.12335276649732,0.319869530770884,2.28202297421339,0,0
63,56,5,13,2,0,unskilled2|cassava,2,33.8643408867023,0.165032407929499,0.304661535082195,2.28202297421339,0,0
63,56,5,13,3,0,unskilled1|maize|industrial_crop,3,39.3843793344534,0.517618213982994,0.176010634208212,2.28202297421339,0,0
63,56,5,13,4,0,unskilled2|maize|industrial_crop,3,47.1478737458701,0.539913244281605,0.167875662000924,2.28202297421339,0,0
63,56,5,13,5,0,maize|cassava|industrial_crop,3,30.7399290605434,0.470331201789773,0.193264637670206,2.28202297421339,0,0
63,56,5,17,1,0,unskilled1|school,2,36.5866928851437,0.12335276649732,0.319869530770884,1.6739370315562,0,0
63,56,5,17,2,0,unskilled2|rice_north,2,45.9348751099835,0.134702735833624,0.315728173532624,1.6739370315562,0,0
63,56,5,17,3,0,unskilled2|cassava,2,31.0514390312387,0.165032407929499,0.304661535082195,1.6739370315562,0,0
63,56,5,17,4,0,unskilled1|maize|industrial_crop,3,40.5666507925294,0.517618213982994,0.176010634208212,1.6739370315562,0,0
63,56,5,17,5,0,unskilled2|maize|industrial_crop,3,43.5796974980297,0.539913244281605,0.167875662000924,1.6739370315562,0,0
63,56,5,17,6,0,rice_north|maize|industrial_crop,3,37.4686100722539,0.450111420392523,0.200642396637158,1.6739370315562,0,0
63,9,3,1,1,0,school,1,22.3328208453801,0.407557202245646,0.0313445328905669,0.166516513941115,0,0
63,9,3,1,2,0,unskilled1|school,2,84.3230147651138,0.371557777446707,0.0332491642894614,0.166516513941115,1,0
63,9,3,1,3,0,unskilled1|rice_south,2,47.8397277198942,0.167779176323884,0.0440305343888181,0.166516513941115,1,0
