quarter,year,agentID,loc,lastYearIncome,baselineIncome,dropThreshold,incomeShock,lastShortfall,historyOK,cooldownOK,fired,movedTo
144,2018,390,3,NaN,NaN,NaN,0,0,1,0,0,0
144,2018,1130,9,NaN,NaN,NaN,0,0,1,0,0,0
144,2018,1169,13,NaN,NaN,NaN,0,0,1,0,0,0
144,2018,1038,13,NaN,NaN,NaN,0,0.0469842740937043,1,1,0,0
144,2018,625,4,NaN,NaN,NaN,0,0,1,1,0,18
144,2018,738,21,NaN,NaN,NaN,0,0,1,0,0,0
144,2018,1186,7,NaN,NaN,NaN,0,0,1,1,0,18
144,2018,376,16,NaN,NaN,NaN,0,0,1,1,0,8
144,2018,1535,11,NaN,NaN,NaN,0,0,1,1,0,0
144,2018,1227,5,NaN,NaN,NaN,0,0,1,1,0,0
145,2018,1169,13,NaN,NaN,NaN,0,0,1,1,0,21
145,2018,20,13,NaN,NaN,NaN,0,0,1,1,0,0
145,2018,1584,8,NaN,NaN,NaN,0,0,1,1,0,14
145,2018,1227,5,NaN,NaN,NaN,0,0,1,1,0,21
145,2018,554,16,NaN,NaN,NaN,0,0,1,1,0,8
145,2018,1598,12,NaN,NaN,NaN,0,0,1,1,0,6
145,2018,1130,9,NaN,NaN,NaN,0,5.75501582983598,1,1,1,2
145,2018,106,11,NaN,NaN,NaN,0,2.96962050952177,1,1,1,15
145,2018,151,12,NaN,NaN,NaN,0,0,1,1,0,10
145,2018,1465,21,NaN,NaN,NaN,0,0,1,1,0,0
145,2018,80,21,NaN,NaN,NaN,0,0,1,1,0,0
145,2018,347,13,NaN,NaN,NaN,0,0.841588125308139,1,1,1,11
145,2018,821,8,NaN,NaN,NaN,0,0,1,1,0,4
145,2018,803,9,NaN,NaN,NaN,0,0,1,1,0,5
145,2018,1394,4,NaN,NaN,NaN,0,0,1,1,0,13
145,2018,1144,1,NaN,NaN,NaN,0,0,1,1,0,0
145,2018,1305,7,NaN,NaN,NaN,0,0,1,1,0,2
145,2018,1107,5,NaN,NaN,NaN,0,2.42030598190622,1,1,1,3
145,2018,1034,4,NaN,NaN,NaN,0,4.74813470687057,1,1,1,6
145,2018,745,7,NaN,NaN,NaN,0,0,1,1,0,10
145,2018,1535,11,NaN,NaN,NaN,0,0,1,1,0,20
145,2018,390,3,NaN,NaN,NaN,0,0,1,1,0,0
145,2018,738,21,NaN,NaN,NaN,0,2.04682876594707,1,1,1,11
145,2018,1441,17,NaN,NaN,NaN,0,0,1,1,0,15
145,2018,1024,5,NaN,NaN,NaN,0,4.38404265415973,1,1,1,12
145,2018,276,16,NaN,NaN,NaN,0,0,1,1,0,8
145,2018,1457,21,NaN,NaN,NaN,0,0,1,1,0,0
145,2018,625,18,NaN,NaN,NaN,0,0,1,1,0,11
145,2018,183,10,NaN,NaN,NaN,0,0,1,1,0,7
145,2018,243,20,NaN,NaN,NaN,0,0,1,1,0,4
145,2018,410,2,NaN,NaN,NaN,0,0,1,1,0,11
145,2018,1178,10,NaN,NaN,NaN,0,6.59647024177826,1,1,1,12
145,2018,1122,9,NaN,NaN,NaN,0,0,1,1,0,13
145,2018,634,17,NaN,NaN,NaN,0,4.29225582680222,1,1,1,8
145,2018,1199,6,NaN,NaN,NaN,0,0,1,1,0,1
145,2018,968,12,NaN,NaN,NaN,0,0,1,1,0,21
145,2018,247,3,NaN,NaN,NaN,0,0,1,1,0,0
145,2018,487,20,NaN,NaN,NaN,0,0,1,1,0,17
145,2018,44,5,NaN,NaN,NaN,0,0,1,1,0,0
145,2018,800,17,NaN,NaN,NaN,0,0,1,1,0,0
145,2018,255,22,NaN,NaN,NaN,0,5.95508592391865,1,1,1,16
145,2018,1599,13,NaN,NaN,NaN,0,0,1,1,0,0
145,2018,102,15,NaN,NaN,NaN,0,0,1,1,0,17
145,2018,1021,12,NaN,NaN,NaN,0,3.59651450073289,1,1,1,17
145,2018,47,9,NaN,NaN,NaN,0,0,1,1,0,12
145,2018,887,1,NaN,NaN,NaN,0,0,1,1,0,0
145,2018,1368,13,NaN,NaN,NaN,0,2.29108397197298,1,1,1,11
145,2018,931,12,NaN,NaN,NaN,0,0,1,1,0,0
145,2018,272,9,NaN,NaN,NaN,0,0.598751317409826,1,1,0,0
145,2018,1124,17,NaN,NaN,NaN,0,0,1,1,0,18
145,2018,233,5,NaN,NaN,NaN,0,0,1,1,0,18
145,2018,1003,12,NaN,NaN,NaN,0,0,1,1,0,10
145,2018,323,21,NaN,NaN,NaN,0,0,1,1,0,8
145,2018,174,11,NaN,NaN,NaN,0,0,1,1,0,0
145,2018,1186,18,NaN,NaN,NaN,0,0,1,1,0,21
145,2018,767,14,NaN,NaN,NaN,0,0,1,1,0,5
145,2018,67,2,NaN,NaN,NaN,0,0,1,1,0,0
145,2018,763,15,NaN,NaN,NaN,0,0,1,1,0,18
145,2018,16,5,NaN,NaN,NaN,0,0,1,1,0,9
145,2018,607,5,NaN,NaN,NaN,0,0,1,1,0,0
145,2018,87,10,NaN,NaN,NaN,0,6.32552907557469,1,1,1,13
145,2018,907,13,NaN,NaN,NaN,0,4.78535776379833,1,1,1,6
145,2018,372,2,NaN,NaN,NaN,0,0,1,1,0,3
145,2018,376,8,NaN,NaN,NaN,0,1.62582378676504,1,1,1,5
145,2018,1391,4,NaN,NaN,NaN,0,0,1,1,0,0
145,2018,1215,19,NaN,NaN,NaN,0,3.87093688806163,1,1,1,2
145,2018,541,16,NaN,NaN,NaN,0,0,1,1,0,1
145,2018,27,6,NaN,NaN,NaN,0,0,1,1,0,9
145,2018,1038,13,NaN,NaN,NaN,0,0,1,1,0,0
145,2018,1439,17,NaN,NaN,NaN,0,0,1,1,0,0
145,2018,568,13,NaN,NaN,NaN,0,2.91456012763651,1,1,1,1
145,2018,447,15,NaN,NaN,NaN,0,0,1,1,0,3
145,2018,1196,13,NaN,NaN,NaN,0,0,1,1,0,10
145,2018,534,12,NaN,NaN,NaN,0,0,1,1,0,11
145,2018,1043,13,NaN,NaN,NaN,0,0,1,1,0,0
145,2018,813,18,NaN,NaN,NaN,0,3.50035829842687,1,1,1,16
